"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,record_identifiers,,text,"Record ID",,,,,,,,,,,,,
site,record_identifiers,,radio,Site,"kumc, kumc | uab, uab | umb, umb",,,,,,,,,,,,
record_id_desc,record_identifiers,,descriptive,"There will be matching ids in multiple source projects.

The record Id will be unique to this project and will not necessarily be the record id in the originating project.

If allowed, we can store a source code and the record id from the site projects.

If this will be a longitudinal project with updates for existing records being submitted over time, the actual record id in this project could be a combination of these 2 fields, or a value derived from these values that can be reliably reproduced when accepting new longitudinal data.

",,,,,,,,,,,,,
visdat,demographics,,text,"visit date",,,date_mdy,1917-01-01,2099-12-31,,,,,,,,DMDTC
age,demographics,,text,"Age in years",,,integer,0,100,,,,,,,,"DM/AGE
AGEU = years"
sex,demographics,,radio,Sex,"1, Male | 2, Female",,,,,,,y,,,,,DM/SEX
ethnic,demographics,,radio,"What is the ethnicity of the subject?","1, Hispanic or Latino | 2, Not Hispanic or Latino | NA, Unknown","Study participants should self-report ethnicity, with ethnicity being asked about before race. Select one.",,,,,,,,,,,DM/RACE
race,demographics,,checkbox,"What is the race of the subject?","1, Black or African American | 2, American Indian or Alaska Native | 3, Asian | 4, Native Hawaiian or Other Pacific Islander | 5, White | 6, Other","Study participants should self-report race, with race being asked about after ethnicity. Check all that apply.",,,,,,,,,,,DM/ETHNIC
other_race,demographics,,text,"Other Race",,,,,,,,,,,,,
govinsur,demographics,,yesno,"national_health_insurance_or_government_coverage
",,,,,,,,,,,,,
employerins,demographics,,yesno,"employer_provided_private_health_insurance
",,,,,,,,,,,,,
selfinsur,demographics,,yesno,"self insured
",,,,,,,,,,,,,
noinsur,demographics,,yesno,"no health insurance
",,,,,,,,,,,,,
educlevel,demographics,,radio,"highest level of education","1, Elementary/primary school | 2, Secondary/high school | 3, University | 4, Unknown",,,,,,,,,,,,
adpkd_status,akpd_diagnosis,,radio,adpkd_status,"1, Yes | 0, No | NA, NA",,,,,,,,,,,,
adpkd_yn,akpd_diagnosis,,yesno,"adpkd Y/N",,,,,,,,,,,,,
diagnosisage,akpd_diagnosis,,text,"age_adpkd_diagnosed_yr
",,,number,,,,,,,,,,
pmhich,adpkd_hx,,radio,PMH_ICH,"0, no | NA, unknown",,,,,,,,,,,,
pmhuti,adpkd_hx,,radio,"History of UTI","1, YES | 0, NO | UNK, Unknown","Pyelonephritis or cystitis",,,,,,,,,,,"MHTERM = Urinary tract infection
MHPRESP = Y
MHOCCUR = Y/N"
mhcystinfect,adpkd_hx,,radio,"History of cyst infection","1, YES | 0, NO | UNK, Unknown",,,,,,,,,,,,"MHTERM = Cyst infection
MHPRESP = Y
MHOCCUR = Y/N"
pmhflankpain,adpkd_hx,,radio,"History of flank pain","1, YES | 0, NO | UNK, Unknown","Painful sensation in the region below the ribs and above the hip.",,,,,,,,,,,"MHTERM = Flank pain
MHPRESP = Y
MHOCCUR = Y/N"
age_onset_pain,adpkd_hx,,text,"Age onset flank pain",,,number,,,,,,,,,,
mhabdopain,adpkd_hx,,radio,"History of abdominal pain","1, YES | 0, NO | UNK, Unknown","Painful sensation in the abdominal region.",,,,,,,,,,,"MHTERM = Abdominal pain
MHPRESP = Y
MHOCCUR = Y/N"
mhbackpain,adpkd_hx,,radio,"History of back pain","1, YES | 0, NO | UNK, Unknown","Painful sensation in the back region.",,,,,,,,,,,"MHTERM = Back pain
MHPRESP = Y
MHOCCUR = Y/N"
mhhernia,adpkd_hx,,radio,PMH_HERNIA,"1, Yes | 0, No",,,,,,,,,,,,
partentdx,birth_and_perinatal_history,,radio,prenatal_diagnosis,"1, yes | 0, no | UNK, unknown",,,,,,,,,,,,
rpamenarage,reproductive_history,,text,"Age at menarche",,"Age of first menstruation in years",number,0,100,,,,,,,,"RPTESTCD = MENARAGE
RPORRESU = Years"
infertility_hx,reproductive_history,,yesno,infertility_hx,,,,,,,,,,,,,
rpnumpreg,reproductive_history,,text,"Number of pregnancies",,"How many times a woman has been pregnant, regardless of the outcome of the pregnancy (sometimes referred to as gravidity).",number,0,20,,,,,,,,"RPTESTCD = NUMPREG"
parity,reproductive_history,,text,parity,,,integer,,,,,,,,,,
rpnumliv,reproductive_history,,text,"Number of live births",,"How many times a woman has been pregnant and delivered (parity).",number,0,20,,,,,,,,"RPTESTCD = NUMLIV"
rppregnt,reproductive_history,,yesno,"Currently pregnant?",,"Select YES or NO",,,,,,,,,,,"RPTESTCD = PREGNT"
rpmenostat,reproductive_history,"<center> Female reproductive history  </center>",yesno,"What is the subject's menopause status?",,"Leave this section blank if patient is male",,,,,,,,,,,"RPTESTCD = MENOSTAT
RPORRES (multiple)"
rpmenopage,reproductive_history,,text,"Age of menopause",,Years,number,0,100,,,,,,,,"RPTESTCD = MENOPAGE
RPORRESU = Years"
uti_preg,reproductive_history,,yesno,uti_preg,,,,,,,,,,,,,
pet_preg,reproductive_history,,yesno,pet_preg,,,,,,,,,,,,,
eclampsia_preg,reproductive_history,,yesno,eclampsia_preg,,,,,,,,,,,,,
preg_prot,reproductive_history,,yesno,preg_prot,,,,,,,,,,,,,
pih,reproductive_history,,yesno,pih,,,,,,,,,,,,,
preterm_labor,reproductive_history,,yesno,preterm_labor,,,,,,,,,,,,,
iugr,reproductive_history,,yesno,iugr,,,,,,,,,,,,,
ectopic,reproductive_history,,yesno,ectopic,,,,,,,,,,,,,
miscarr,reproductive_history,,yesno,miscarr,,,,,,,,,,,,,
spabort,reproductive_history,,yesno,spabort,,,,,,,,,,,,,
tabort,reproductive_history,,yesno,tabort,,,,,,,,,,,,,
electabort,reproductive_history,,yesno,electabort,,,,,,,,,,,,,
stillbirth,reproductive_history,,yesno,stillbirth,,,,,,,,,,,,,
gest_dm,reproductive_history,,yesno,gest_dm,,,,,,,,,,,,,
preg_edema,reproductive_history,,yesno,preg_edema,,,,,,,,,,,,,
preg_hemat,reproductive_history,,yesno,preg_hemat,,,,,,,,,,,,,
preg_aki,reproductive_history,,yesno,preg_aki,,,,,,,,,,,,,
preg_complic_other,reproductive_history,,text,preg_complic_other,,,,,,,,,,,,,
contracep_method,reproductive_history,,text,contracep_method,,,,,,,,,,,,,
contracep_other,reproductive_history,,text,contracep_other,,,,,,,,,,,,,
hormone_type,reproductive_history,,text,hormone_type,,,,,,,,,,,,,
hormcontracep_age,reproductive_history,,text,hormcontracep_age,,,,,,,,,,,,,
hormcontracep_dur,reproductive_history,,text,hormcontracep_dur,,,,,,,,,,,,,
estreplage,reproductive_history,,text,estreplage,,,,,,,,,,,,,
estrepldur,reproductive_history,,text,estrepldur,,,,,,,,,,,,,
